season,week,celebrity_name,judge_score,fan_votes,fan_share,was_eliminated,fvli_percent,fvli_rank,n_contestants,fvli_percent_scaled
1,2,John O'Hurley,26.0,595159.2179536378,0.05951592179536378,False,9.404840782046362e-08,0.0,6,0.9404840782046363
1,2,Kelly Monaco,17.0,4016901.5343625015,0.40169015343625014,False,5.983098465637499e-08,8.333333333333332,6,0.59830984656375
1,2,Evander Holyfield,14.0,4101326.521760471,0.4101326521760471,False,5.8986734782395286e-08,0.0,6,0.589867347823953
1,2,Rachel Hunter,24.0,179171.7018467923,0.01791717018467923,False,9.820828298153207e-08,0.0,6,0.9820828298153209
1,2,Joey McIntyre,21.0,1056047.4808977586,0.10560474808977587,False,8.943952519102242e-08,0.0,6,0.8943952519102243
1,2,Trista Sutter,19.0,51393.54317883966,0.005139354317883966,True,9.948606456821161e-08,0.0,6,0.9948606456821163
1,3,John O'Hurley,24.0,2027091.1545481307,0.2027091154548131,False,7.972908845451871e-08,4.333333333333334,5,0.7972908845451872
1,3,Kelly Monaco,21.0,4962592.610864061,0.49625926108640617,False,5.03740738913594e-08,0.0,5,0.5037407389135939
1,3,Evander Holyfield,13.0,146430.32901147314,0.014643032901147317,True,9.853569670988529e-08,0.0,5,0.9853569670988529
1,3,Rachel Hunter,26.0,731892.794272693,0.07318927942726931,False,9.268107205727309e-08,0.0,5,0.926810720572731
1,3,Joey McIntyre,22.0,2131993.111303641,0.21319931113036414,False,7.86800688869636e-08,0.0,5,0.786800688869636
1,4,John O'Hurley,21.0,3085259.356345295,0.3085259356345295,False,6.914740643654704e-08,0.0,4,0.6914740643654703
1,4,Kelly Monaco,26.0,912834.7120275736,0.09128347120275736,False,9.087165287972425e-08,0.0,4,0.9087165287972425
1,4,Rachel Hunter,25.0,4466.391194104289,0.0004466391194104289,True,9.995533608805895e-08,0.0,4,0.9995533608805894
1,4,Joey McIntyre,20.0,5997439.540433027,0.5997439540433027,False,4.002560459566973e-08,0.0,4,0.4002560459566973
2,2,Tatum O'Neal,17.0,94200.67858208236,0.009420067858208234,True,9.905799321417915e-08,0.0,9,0.9905799321417916
2,2,Tia Carrere,22.0,1023902.8953845968,0.10239028953845966,False,8.976097104615402e-08,4.333333333333334,9,0.8976097104615404
2,2,George Hamilton,22.0,1344851.875776728,0.13448518757767278,False,8.65514812422327e-08,0.0,9,0.8655148124223272
2,2,Lisa Rinna,20.0,1122610.47656835,0.11226104765683499,False,8.877389523431649e-08,1.0,9,0.887738952343165
2,2,Stacy Keibler,29.0,914967.1377025216,0.09149671377025215,False,9.085032862297477e-08,2.3333333333333335,9,0.9085032862297479
2,2,Jerry Rice,23.0,851004.3948843831,0.08510043948843829,False,9.148995605115615e-08,4.333333333333334,9,0.9148995605115616
2,2,Giselle Fernandez,24.0,1994595.6834988191,0.19945956834988188,False,8.005404316501179e-08,0.0,9,0.8005404316501181
2,2,Master P,16.0,2404872.7380112354,0.2404872738011235,False,7.595127261988764e-08,0.0,9,0.7595127261988766
2,2,Drew Lachey,27.0,248994.11959128472,0.024899411959128467,False,9.751005880408714e-08,0.0,9,0.9751005880408715
2,3,Tia Carrere,26.0,704428.1734542816,0.07044281734542816,False,9.295571826545719e-08,0.0,8,0.9295571826545719
2,3,George Hamilton,22.0,2157644.5838465067,0.21576445838465066,False,7.842355416153494e-08,0.0,8,0.7842355416153494
2,3,Lisa Rinna,25.0,480384.596061098,0.0480384596061098,False,9.519615403938902e-08,0.0,8,0.9519615403938902
2,3,Stacy Keibler,27.0,424875.4501706488,0.04248754501706488,False,9.57512454982935e-08,2.3333333333333335,8,0.957512454982935
2,3,Jerry Rice,19.0,1148596.8865353195,0.11485968865353195,False,8.851403113464681e-08,0.0,8,0.8851403113464681
2,3,Giselle Fernandez,22.0,401818.88096097286,0.04018188809609729,True,9.598181119039028e-08,5.333333333333334,8,0.9598181119039028
2,3,Master P,14.0,3624076.8821371873,0.3624076882137187,False,6.375923117862813e-08,0.0,8,0.6375923117862813
2,3,Drew Lachey,27.0,1058174.546833985,0.1058174546833985,False,8.941825453166014e-08,4.333333333333334,8,0.8941825453166015
2,4,Tia Carrere,25.0,1635067.062106946,0.16350670621069457,False,8.364932937893054e-08,5.333333333333334,7,0.8364932937893054
2,4,George Hamilton,21.0,2513230.5997651005,0.25132305997651,False,7.486769400234899e-08,0.0,7,0.7486769400234898
2,4,Lisa Rinna,26.0,1756891.726733026,0.17568917267330258,False,8.243108273266973e-08,4.333333333333334,7,0.8243108273266974
2,4,Stacy Keibler,26.0,1379606.9766708782,0.1379606976670878,False,8.620393023329121e-08,1.0,7,0.8620393023329121
2,4,Jerry Rice,24.0,1920904.9319402324,0.19209049319402322,False,8.079095068059766e-08,0.0,7,0.8079095068059766
2,4,Master P,8.0,298075.02535449376,0.029807502535449372,True,9.701924974645504e-08,0.0,7,0.9701924974645505
2,4,Drew Lachey,28.0,496223.67742932326,0.04962236774293231,False,9.503776322570676e-08,0.0,7,0.9503776322570676
2,5,Tia Carrere,22.0,112273.5181310273,0.011227351813102731,True,9.887726481868973e-08,0.0,6,0.9887726481868973
2,5,George Hamilton,24.0,4113143.510688983,0.4113143510688983,False,5.886856489311016e-08,0.0,6,0.5886856489311016
2,5,Lisa Rinna,25.0,1187414.3782155411,0.11874143782155411,False,8.812585621784459e-08,0.0,6,0.8812585621784459
2,5,Stacy Keibler,30.0,1894869.4801763787,0.18948694801763788,False,8.105130519823621e-08,2.3333333333333335,6,0.8105130519823621
