season,week,contestant,prior,status,judge_score,instagram_followers,eliminated,fan_votes_scaled,fan_votes_proportion,fan_votes_pct,combined_pct
5,2,Cameron Mathison,uniform,OPTIMAL,21.0,400000.0,False,769230.7728747065,0.07692307728747065,7.692307728747065,14.908802574107888
5,2,Jane Seymour,uniform,OPTIMAL,21.0,475000.0,False,769230.7728747065,0.07692307728747065,7.692307728747065,14.908802574107888
5,2,Sabrina Bryan,uniform,OPTIMAL,26.0,220000.0,False,769230.7700564883,0.07692307700564883,7.692307700564884,16.62701560434495
5,2,Sabrina Bryan,uniform,OPTIMAL,26.0,220000.0,False,769230.7700564883,0.07692307700564883,7.692307700564884,16.62701560434495
5,2,Jennie Garth,uniform,OPTIMAL,21.0,1000000.0,False,769230.7728747065,0.07692307728747065,7.692307728747065,14.908802574107888
5,2,Floyd Mayweather Jr. ,uniform,OPTIMAL,21.0,,False,769230.7728747065,0.07692307728747065,7.692307728747065,14.908802574107888
5,2,Albert Reed,uniform,OPTIMAL,21.0,454.0,True,659470.9146902394,0.06594709146902393,6.594709146902393,13.811203992263216
5,2,Helio Castroneves,uniform,OPTIMAL,27.0,149000.0,False,769230.76993478,0.076923076993478,7.692307699347801,16.970658214811717
5,2,Helio Castroneves,uniform,OPTIMAL,27.0,149000.0,False,769230.76993478,0.076923076993478,7.692307699347801,16.970658214811717
5,2,Mel B,uniform,OPTIMAL,23.0,1800000.0,False,769230.7708481044,0.07692307708481044,7.692307708481044,15.596087777209567
5,2,Wayne Newton,uniform,OPTIMAL,15.0,14000.0,False,875656.4826729391,0.0875656482672939,8.75656482672939,13.911204001987121
5,2,Marie Osmond,uniform,OPTIMAL,24.0,385000.0,False,769230.7704676207,0.07692307704676207,7.692307704676208,15.93973038508858
5,2,Mark Cuban,uniform,OPTIMAL,18.0,22000000.0,False,772564.8898397317,0.07725648898397318,7.725648898397318,13.911215908706598
5,2,Cameron Mathison,judge_proportional,OPTIMAL,21.0,400000.0,False,721649.5455512248,0.07216495455512248,7.216495455512248,14.432990300873072
5,2,Jane Seymour,judge_proportional,OPTIMAL,21.0,475000.0,False,721649.5455512248,0.07216495455512248,7.216495455512248,14.432990300873072
5,2,Sabrina Bryan,judge_proportional,OPTIMAL,26.0,220000.0,False,893470.8017309585,0.08934708017309585,8.934708017309585,17.869415921089654
5,2,Sabrina Bryan,judge_proportional,OPTIMAL,26.0,220000.0,False,893470.8017309585,0.08934708017309585,8.934708017309585,17.869415921089654
5,2,Jennie Garth,judge_proportional,OPTIMAL,21.0,1000000.0,False,721649.5455512248,0.07216495455512248,7.216495455512248,14.432990300873072
5,2,Floyd Mayweather Jr. ,judge_proportional,OPTIMAL,21.0,,False,721649.5455512248,0.07216495455512248,7.216495455512248,14.432990300873072
5,2,Albert Reed,judge_proportional,OPTIMAL,21.0,454.0,True,508777.9659035353,0.05087779659035353,5.087779659035354,12.304274504396178
5,2,Helio Castroneves,judge_proportional,OPTIMAL,27.0,149000.0,False,927835.060816443,0.09278350608164429,9.278350608164429,18.556701123628347
5,2,Helio Castroneves,judge_proportional,OPTIMAL,27.0,149000.0,False,927835.060816443,0.09278350608164429,9.278350608164429,18.556701123628347
5,2,Mel B,judge_proportional,OPTIMAL,23.0,1800000.0,False,790378.0319743751,0.07903780319743751,7.903780319743752,15.807560388472275
5,2,Wayne Newton,judge_proportional,OPTIMAL,15.0,14000.0,False,724963.5497416535,0.07249635497416534,7.249635497416534,12.404274672674266
5,2,Marie Osmond,judge_proportional,OPTIMAL,24.0,385000.0,False,824742.2864926812,0.08247422864926812,8.247422864926811,16.49484554533918
5,2,Mark Cuban,judge_proportional,OPTIMAL,18.0,22000000.0,False,621928.2585880529,0.06219282585880529,6.219282585880529,12.404849596189807
5,2,Cameron Mathison,instagram,INFEASIBLE,21.0,400000.0,False,,,,
5,2,Jane Seymour,instagram,INFEASIBLE,21.0,475000.0,False,,,,
5,2,Sabrina Bryan,instagram,INFEASIBLE,26.0,220000.0,False,,,,
5,2,Sabrina Bryan,instagram,INFEASIBLE,26.0,220000.0,False,,,,
5,2,Jennie Garth,instagram,INFEASIBLE,21.0,1000000.0,False,,,,
5,2,Floyd Mayweather Jr. ,instagram,INFEASIBLE,21.0,,False,,,,
